Coleta,Job_id,Situação,Observação
Farm A,9,Intrusion,O pé de alguém aparece em alguns frames
Farm A,10,Suited,
Farm A,11,Suited,
Farm A,12,Intrusion,"O pé de alguém em alguns frames. Além disso, outros animais conseguem entrar no corredor e são fotografados também."
Farm A,13,Intrusion,O pé de alguém aparece em alguns frames; O pé de quem registra as imagens também aparece
Farm A,14,Suited,
Farm A,15,Suited,
Farm A,16,Suited,
Farm A,17,Suited,
Farm A,18,Suited,
Farm A,19,Jumping,
Farm A,20,Intrusion,Uma borboleta entrou no corredor e assustou o animal.
Farm A,21,Fail,
Farm A,22,Suited,
Farm A,23,Suited,
Farm A,24,Suited,
Farm A,25,Suited,
Farm A,26,Suited,
Farm A,27,Suited,"Animal ficou de frente para o corredor querendo sair, o que faz com que a postura dele mude"
Farm A,28,Jumping,O animal pulo da metade do corredor para frente; Nos primeiros frames parece que ele ainda está rente ao chão; 
Farm A,29,Suited,
Farm A,30,Fail,
Farm A,31,Fail,
Farm A,32,Fail,
Farm A,33,Suited,
Farm A,34,Fail,
Farm A,35,Suited,Deu uma quebradinha de pescoço
Farm A,36,Suited,Percebe-se uma clara mudança de cor na imagem RGB. Teria sido alguma nuvem?
Farm A,37,Suited,Claramente o animal passa correndo. Seria um desafio para as coletas live?
Farm A,38,Suited,
Farm A,39,Jumping,"Aparentemente, nenhum frame em que ele está rente ao chão."
Farm A,40,Suited,
Farm A,41,Suited,
Farm A,42,Suited,"Muito vento, o que faz a vegetação e a tela usada no corredor se movimentar bastante."
Farm A,43,Suited,
Farm A,44,Suited,
Farm A,45,Suited,Em alguns frames parece que as orelhas somem. Acredito que o animal joga para trás
Farm A,46,Suited,
Farm A,47,Suited,Percebe-se uma clara mudança de cor na imagem RGB. Teria sido alguma nuvem?
Farm A,48,Suited,
Farm A,49,Suited,
Farm A,50,Jumping,"Aparentemente, nenhum frame em que ele está rente ao chão."
Farm A,51,Jumping,"Aparentemente, nenhum frame em que ele está rente ao chão."
Farm A,52,Jumping,O primeiros frame completo parece que ele ainda está rente ao chão; 
Farm A,53,Suited,
Farm A,54,Suited,
Farm A,55,Suited,
Farm A,56,Suited,
Farm A,57,Suited,Percebe-se uma clara mudança de cor na imagem RGB. Teria sido alguma nuvem?
Farm A,58,Suited,"Muito vento, o que faz a vegetação e a tela usada no corredor se movimentar bastante."
